Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
860	a	sp|P61916|NPC2_HUMAN	P61916	NPC2_HUMAN	NPC2	151	23.20	Homo sapiens OX=9606	NPC intracellular cholesterol transporter 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	5	5	5	     0	     0	     0	12C(57.0215), 2C(57.0215), 5C(57.0215), 7C(57.0215)		
861	a	sp|P61923|COPZ1_HUMAN	P61923	COPZ1_HUMAN	COPZ1	177	30.50	Homo sapiens OX=9606	Coatomer subunit zeta-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	8	8	8	     0	     0	     0	N-term(42.0106)		
862	a	sp|P61960|UFM1_HUMAN	P61960	UFM1_HUMAN	UFM1	85	60.00	Homo sapiens OX=9606	Ubiquitin-fold modifier 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	4	4	4	     0	     0	     0			
863	a	sp|P61964|WDR5_HUMAN	P61964	WDR5_HUMAN	WDR5	334	9.90	Homo sapiens OX=9606	WD repeat-containing protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	9C(57.0215)		
864	a	sp|P61978|HNRPK_HUMAN	P61978	HNRPK_HUMAN	HNRNPK	463	43.80	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein K 	1:Experimental evidence at protein level	1.0000	0.9990	19	29	29	29	97	97	97	     0	     0	     0	5C(57.0215), 5M(15.9949), 6C(57.0215), 6M(15.9949), N-term(42.0106)		
865	a	sp|P61981|1433G_HUMAN	P61981	1433G_HUMAN	YWHAG	247	59.10	Homo sapiens OX=9606	14-3-3 protein gamma 	1:Experimental evidence at protein level	1.0000	0.9990	14	20	13	17	59	34	51	     0	     0	     0	2C(57.0215), 3M(15.9949), 4M(15.9949), 8M(15.9949), N-term(42.0106)		
866	a	sp|P62072|TIM10_HUMAN	P62072	TIM10_HUMAN	TIMM10	90	32.20	Homo sapiens OX=9606	Mitochondrial import inner membrane translocase subunit Tim10 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	4	4	4	     0	     0	     0	6M(15.9949)		
867	a	sp|P62081|RS7_HUMAN	P62081	RS7_HUMAN	RPS7	194	21.10	Homo sapiens OX=9606	40S ribosomal protein S7 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	5	5	13	13	13	     0	     0	     0			
868	a	sp|P62136|PP1A_HUMAN	P62136	PP1A_HUMAN	PPP1CA	330	30.00	Homo sapiens OX=9606	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	4	11	21	9	21	     0	     0	     0	5C(57.0215), 7C(57.0215), 8C(57.0215)		
869	a	sp|P62140|PP1B_HUMAN	P62140	PP1B_HUMAN	PPP1CB	327	37.30	Homo sapiens OX=9606	Serine/threonine-protein phosphatase PP1-beta catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	4	4	17	5	5	     0	     0	     0	2C(57.0215), 4M(15.9949), N-term(42.0106)		
870	a	sp|P62241|RS8_HUMAN	P62241	RS8_HUMAN	RPS8	208	41.80	Homo sapiens OX=9606	40S ribosomal protein S8 	1:Experimental evidence at protein level	1.0000	0.9990	8	10	10	10	24	24	24	     0	     0	     0	12C(57.0215), 13C(57.0215), 2C(57.0215)		
871	a	sp|P62244|RS15A_HUMAN	P62244	RS15A_HUMAN	RPS15A	130	30.80	Homo sapiens OX=9606	40S ribosomal protein S15a 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	7	7	7	     0	     0	     0	1C(57.0215)		
872	a	sp|P62249|RS16_HUMAN	P62249	RS16_HUMAN	RPS16	146	53.40	Homo sapiens OX=9606	40S ribosomal protein S16 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	11	11	25	25	25	     0	     0	     0	8C(57.0215), 8M(15.9949)		
873	a	sp|P62258|1433E_HUMAN	P62258	1433E_HUMAN	YWHAE	255	71.00	Homo sapiens OX=9606	14-3-3 protein epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	18	24	21	24	70	62	70	     0	     0	     0	10M(15.9949), 2M(15.9949), 3C(57.0215), 4C(57.0215), 4M(15.9949), 6M(15.9949), 7M(15.9949), 8M(15.9949), N-term(42.0106)		
874	a	sp|P62263|RS14_HUMAN	P62263	RS14_HUMAN	RPS14	151	36.40	Homo sapiens OX=9606	40S ribosomal protein S14 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	12	12	12	     0	     0	     0			
875	a	sp|P62266|RS23_HUMAN	P62266	RS23_HUMAN	RPS23	143	28.70	Homo sapiens OX=9606	40S ribosomal protein S23 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	5	17	17	17	     0	     0	     0			
876	a	sp|P62273|RS29_HUMAN	P62273	RS29_HUMAN	RPS29	56	32.10	Homo sapiens OX=9606	40S ribosomal protein S29 	1:Experimental evidence at protein level	1.0000	0.9990	2	5	5	5	11	11	11	     0	     0	     0	5M(15.9949), 6C(57.0215), N-term(42.0106)		
877	a	sp|P62277|RS13_HUMAN	P62277	RS13_HUMAN	RPS13	151	33.10	Homo sapiens OX=9606	40S ribosomal protein S13 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	11	11	11	     0	     0	     0			
878	a	sp|P62280|RS11_HUMAN	P62280	RS11_HUMAN	RPS11	158	44.90	Homo sapiens OX=9606	40S ribosomal protein S11 	1:Experimental evidence at protein level	1.0000	0.9990	10	13	13	13	28	28	28	     0	     0	     0	1C(57.0215), 2M(15.9949), 9C(57.0215), N-term(42.0106)		
879	a	sp|P62306|RUXF_HUMAN	P62306	RUXF_HUMAN	SNRPF	86	15.10	Homo sapiens OX=9606	Small nuclear ribonucleoprotein F 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	2	6	6	6	     0	     0	     0	11M(15.9949)		
880	a	sp|P62310|LSM3_HUMAN	P62310	LSM3_HUMAN	LSM3	102	40.20	Homo sapiens OX=9606	U6 snRNA-associated Sm-like protein LSm3 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	3	     0	     0	     0	N-term(42.0106)		
881	a	sp|P62314|SMD1_HUMAN	P62314	SMD1_HUMAN	SNRPD1	119	20.20	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D1 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	3	3	3	3	     0	     0	     0			
882	a	sp|P62316|SMD2_HUMAN	P62316	SMD2_HUMAN	SNRPD2	118	59.30	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D2 	1:Experimental evidence at protein level	1.0000	0.9990	7	9	9	9	21	21	21	     0	     0	     0	2C(57.0215), 2M(15.9949), 3M(15.9949), 4M(15.9949), 9C(57.0215), N-term(42.0106)		
883	a	sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	31.70	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D3 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	5	5	5	     0	     0	     0	12C(57.0215), 7M(15.9949)		
884	a	sp|P62328|TYB4_HUMAN	P62328	TYB4_HUMAN	TMSB4X	44	40.90	Homo sapiens OX=9606	Thymosin beta-4 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	2	2	12	10	10	     0	     0	     0	6M(15.9949), N-term(42.0106)		
885	a	sp|P62330|ARF6_HUMAN	P62330	ARF6_HUMAN	ARF6	175	21.10	Homo sapiens OX=9606	ADP-ribosylation factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	5	5	5	     0	     0	     0			
886	a	sp|P62333|PRS10_HUMAN	P62333	PRS10_HUMAN	PSMC6	389	31.40	Homo sapiens OX=9606	26S proteasome regulatory subunit 10B 	1:Experimental evidence at protein level	1.0000	0.9990	11	12	12	12	15	15	15	     0	     0	     0	2C(57.0215), 3C(57.0215), 8C(57.0215)		
887	a	sp|P62424|RL7A_HUMAN	P62424	RL7A_HUMAN	RPL7A	266	38.00	Homo sapiens OX=9606	60S ribosomal protein L7a 	1:Experimental evidence at protein level	1.0000	0.9990	10	14	14	14	35	35	35	     0	     0	     0	2C(57.0215), 6C(57.0215)		
888	a	sp|P62491|RB11A_HUMAN	P62491	RB11A_HUMAN	RAB11A	216	28.20	Homo sapiens OX=9606	Ras-related protein Rab-11A 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	11	11	11	     0	     0	     0	N-term(42.0106)		sp|Q15907|RB11B_HUMAN
889	a	sp|P62495|ERF1_HUMAN	P62495	ERF1_HUMAN	ETF1	437	22.70	Homo sapiens OX=9606	Eukaryotic peptide chain release factor subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	10	10	10	16	16	16	     0	     0	     0	10C(57.0215), 5C(57.0215), 8M(15.9949), N-term(42.0106)		
890	a	sp|P62633|CNBP_HUMAN	P62633	CNBP_HUMAN	CNBP	177	49.20	Homo sapiens OX=9606	Cellular nucleic acid-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	8	10	10	10	19	19	19	     0	     0	     0	11C(57.0215), 12C(57.0215), 13C(57.0215), 1C(57.0215), 2C(57.0215), 4C(57.0215), 5C(57.0215), 6C(57.0215), 9C(57.0215), N-term(42.0106)		
891	a	sp|P62745|RHOB_HUMAN	P62745	RHOB_HUMAN	RHOB	196	15.80	Homo sapiens OX=9606	Rho-related GTP-binding protein RhoB 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	9C(57.0215)		
892	a	sp|P62750|RL23A_HUMAN	P62750	RL23A_HUMAN	RPL23A	156	36.50	Homo sapiens OX=9606	60S ribosomal protein L23a 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	7	15	15	15	     0	     0	     0	9M(15.9949)		
893	a	sp|P62753|RS6_HUMAN	P62753	RS6_HUMAN	RPS6	249	21.70	Homo sapiens OX=9606	40S ribosomal protein S6 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	8	18	18	18	     0	     0	     0	10C(57.0215)		
894	a	sp|P62805|H4_HUMAN	P62805	H4_HUMAN	H4C1	103	52.40	Homo sapiens OX=9606	Histone H4 	1:Experimental evidence at protein level	1.0000	0.9990	7	11	11	11	46	46	46	     0	     0	     0	5M(15.9949)		
895	a	sp|P62826|RAN_HUMAN	P62826	RAN_HUMAN	RAN	216	28.20	Homo sapiens OX=9606	GTP-binding nuclear protein Ran 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	8	30	30	30	     0	     0	     0	10C(57.0215), 2C(57.0215)		
896	a	sp|P62829|RL23_HUMAN	P62829	RL23_HUMAN	RPL23	140	43.60	Homo sapiens OX=9606	60S ribosomal protein L23 	1:Experimental evidence at protein level	1.0000	0.9990	5	8	8	8	23	23	23	     0	     0	     0	11M(15.9949), 13C(57.0215), 9M(15.9949)		
897	a	sp|P62841|RS15_HUMAN	P62841	RS15_HUMAN	RPS15	145	30.30	Homo sapiens OX=9606	40S ribosomal protein S15 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	13	13	13	     0	     0	     0	12M(15.9949), 8M(15.9949)		
898	a	sp|P62847|RS24_HUMAN	P62847	RS24_HUMAN	RPS24	133	19.50	Homo sapiens OX=9606	40S ribosomal protein S24 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	3	6	6	6	     0	     0	     0	6M(15.9949)		
899	a	sp|P62851|RS25_HUMAN	P62851	RS25_HUMAN	RPS25	125	34.40	Homo sapiens OX=9606	40S ribosomal protein S25 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	8	8	8	     0	     0	     0			
900	a	sp|P62857|RS28_HUMAN	P62857	RS28_HUMAN	RPS28	69	46.40	Homo sapiens OX=9606	40S ribosomal protein S28 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	14	14	14	     0	     0	     0	4M(15.9949), 7C(57.0215)		
901	a	sp|P62877|RBX1_HUMAN	P62877	RBX1_HUMAN	RBX1	108	25.00	Homo sapiens OX=9606	E3 ubiquitin-protein ligase RBX1 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	9	9	9	     0	     0	     0	3C(57.0215), 4M(15.9949), N-term(42.0106)		
902	a	sp|P62888|RL30_HUMAN	P62888	RL30_HUMAN	RPL30	115	65.20	Homo sapiens OX=9606	60S ribosomal protein L30 	1:Experimental evidence at protein level	1.0000	0.9990	6	10	10	10	15	15	15	     0	     0	     0	17C(57.0215), 2C(57.0215), 2M(15.9949), 8C(57.0215)		
903	a	sp|P62891|RL39_HUMAN	P62891	RL39_HUMAN	RPL39	51	19.60	Homo sapiens OX=9606	60S ribosomal protein L39 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	2	2	2	2	     0	     0	     0			sp|Q59GN2|R39L5_HUMAN
904	a	sp|P62899|RL31_HUMAN	P62899	RL31_HUMAN	RPL31	125	52.80	Homo sapiens OX=9606	60S ribosomal protein L31 	1:Experimental evidence at protein level	1.0000	0.9990	8	9	9	9	23	23	23	     0	     0	     0	2M(15.9949)		
905	a	sp|P62906|RL10A_HUMAN	P62906	RL10A_HUMAN	RPL10A	217	40.10	Homo sapiens OX=9606	60S ribosomal protein L10a 	1:Experimental evidence at protein level	1.0000	0.9990	9	13	13	13	26	26	26	     0	     0	     0	11M(15.9949), 12C(57.0215), 4C(57.0215)		
906	a	sp|P62910|RL32_HUMAN	P62910	RL32_HUMAN	RPL32	135	42.20	Homo sapiens OX=9606	60S ribosomal protein L32 	1:Experimental evidence at protein level	1.0000	0.9990	7	10	10	10	23	23	23	     0	     0	     0	2M(15.9949), 3C(57.0215), 5M(15.9949)		
907	a	sp|P62942|FKB1A_HUMAN	P62942	FKB1A_HUMAN	FKBP1A	108	25.00	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase FKBP1A 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	3	5	5	5	     0	     0	     0	9M(15.9949)		
908	a	sp|P62993|GRB2_HUMAN	P62993	GRB2_HUMAN	GRB2	217	23.00	Homo sapiens OX=9606	Growth factor receptor-bound protein 2 	1:Experimental evidence at protein level	1.0000	0.9989	5	5	5	5	6	6	6	     0	     0	     0	3C(57.0215), 6C(57.0215)		
909	a	sp|P62995|TRA2B_HUMAN	P62995	TRA2B_HUMAN	TRA2B	288	13.50	Homo sapiens OX=9606	Transformer-2 protein homolog beta 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	4	6	16	9	16	     0	     0	     0	4M(15.9949)		
910	a	sp|P63010|AP2B1_HUMAN	P63010	AP2B1_HUMAN	AP2B1	937	20.20	Homo sapiens OX=9606	AP-2 complex subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	19	24	11	24	30	15	30	     0	     0	     0	2C(57.0215), 5C(57.0215), 5M(15.9949), 6C(57.0215), 7M(15.9949)		
911	a	sp|P63104|1433Z_HUMAN	P63104	1433Z_HUMAN	YWHAZ	245	49.80	Homo sapiens OX=9606	14-3-3 protein zeta/delta 	1:Experimental evidence at protein level	1.0000	0.9990	12	18	12	15	68	51	60	     0	     0	     0	2M(15.9949), 4M(15.9949), 7C(57.0215), 8M(15.9949)		
912	a	sp|P63167|DYL1_HUMAN	P63167	DYL1_HUMAN	DYNLL1	89	44.90	Homo sapiens OX=9606	Dynein light chain 1, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	3	6	4	6	13	9	13	     0	     0	     0	15C(57.0215), 4M(15.9949), 8M(15.9949)		
913	a	sp|P63218|GBG5_HUMAN	P63218	GBG5_HUMAN	GNG5	68	27.90	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 	1:Experimental evidence at protein level	1.0000	0.9987	2	3	3	3	7	7	7	     0	     0	     0	9M(15.9949), N-term(42.0106)		
914	a	sp|P63220|RS21_HUMAN	P63220	RS21_HUMAN	RPS21	83	59.00	Homo sapiens OX=9606	40S ribosomal protein S21 	1:Experimental evidence at protein level	1.0000	0.9990	5	9	9	9	19	19	19	     0	     0	     0	1M(15.9949), 5C(57.0215), 7M(15.9949), N-term(42.0106)		
915	a	sp|P63244|RACK1_HUMAN	P63244	RACK1_HUMAN	RACK1	317	44.20	Homo sapiens OX=9606	Receptor of activated protein C kinase 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	15	14	15	34	33	34	     0	     0	     0	13C(57.0215), 14C(57.0215), 4C(57.0215), 5M(15.9949), 7C(57.0215), 8C(57.0215)		
916	a	sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	30.40	Homo sapiens	SUMO-conjugating enzyme UBC9 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	6	6	6	     0	     0	     0	13C(57.0215)		
917	a	sp|P63313|TYB10_HUMAN	P63313	TYB10_HUMAN	TMSB10	44	47.70	Homo sapiens OX=9606	Thymosin beta-10 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	2	3	11	9	11	     0	     0	     0	6M(15.9949), N-term(42.0106)		
918	a	sp|P67870|CSK2B_HUMAN	P67870	CSK2B_HUMAN	CSNK2B	215	16.30	Homo sapiens OX=9606	Casein kinase II subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	1C(57.0215), 6C(57.0215), 9C(57.0215)		
919	a	sp|P67936|TPM4_HUMAN	P67936	TPM4_HUMAN	TPM4	248	40.30	Homo sapiens OX=9606	Tropomyosin alpha-4 chain 	1:Experimental evidence at protein level	1.0000	0.9990	13	16	5	16	40	16	40	     0	     0	     0	1C(57.0215), 1M(15.9949), 6M(15.9949)		
920	a	sp|P68400|CSK21_HUMAN	P68400	CSK21_HUMAN	CSNK2A1	391	9.50	Homo sapiens OX=9606	Casein kinase II subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	3	     0	     0	     0			sp|Q8NEV1|CSK23_HUMAN
921	a	sp|P78316|NOP14_HUMAN	P78316	NOP14_HUMAN	NOP14	857	5.50	Homo sapiens OX=9606	Nucleolar protein 14 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	6	6	6	     0	     0	     0			
922	a	sp|P78318|IGBP1_HUMAN	P78318	IGBP1_HUMAN	IGBP1	339	13.30	Homo sapiens OX=9606	Immunoglobulin-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9976	4	4	4	4	4	4	4	     0	     0	     0			
923	a	sp|P78330|SERB_HUMAN	P78330	SERB_HUMAN	PSPH	225	33.30	Homo sapiens OX=9606	Phosphoserine phosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	8	8	8	     0	     0	     0	2C(57.0215), N-term(42.0106)		
924	a	sp|P78344|IF4G2_HUMAN	P78344	IF4G2_HUMAN	EIF4G2	907	18.90	Homo sapiens OX=9606	Eukaryotic translation initiation factor 4 gamma 2 	1:Experimental evidence at protein level	1.0000	0.9990	15	13	13	13	21	21	21	     0	     0	     0			
925	a	sp|P78346|RPP30_HUMAN	P78346	RPP30_HUMAN	RPP30	268	16.00	Homo sapiens OX=9606	Ribonuclease P protein subunit p30 	1:Experimental evidence at protein level	1.0000	0.9983	4	4	4	4	5	5	5	     0	     0	     0	11C(57.0215), 7C(57.0215)		
926	a	sp|P78356|PI42B_HUMAN	P78356	PI42B_HUMAN	PIP4K2B	416	10.60	Homo sapiens OX=9606	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	4C(57.0215), N-term(42.0106)		
927	a	sp|P78371|TCPB_HUMAN	P78371	TCPB_HUMAN	CCT2	535	39.80	Homo sapiens OX=9606	T-complex protein 1 subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	19	25	25	25	49	49	49	     0	     0	     0	14M(15.9949), 5C(57.0215), 5M(15.9949), 8C(57.0215), 8M(15.9949), N-term(42.0106)		
928	a	sp|P78406|RAE1L_HUMAN	P78406	RAE1L_HUMAN	RAE1	368	17.90	Homo sapiens OX=9606	mRNA export factor 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	7	11	11	11	     0	     0	     0	1C(57.0215), 6C(57.0215), 8M(15.9949)		
929	a	sp|P78417|GSTO1_HUMAN	P78417	GSTO1_HUMAN	GSTO1	241	39.40	Homo sapiens OX=9606	Glutathione S-transferase omega-1 	1:Experimental evidence at protein level	1.0000	0.9990	11	14	14	14	30	30	30	     0	     0	     0	1M(15.9949), 2C(57.0215), 4C(57.0215)		
930	a	sp|P80217|IN35_HUMAN	P80217	IN35_HUMAN	IFI35	286	7.00	Homo sapiens OX=9606	Interferon-induced 35 kDa protein 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	2	3	3	3	     0	     0	     0			
931	a	sp|P80303|NUCB2_HUMAN	P80303	NUCB2_HUMAN	NUCB2	420	11.00	Homo sapiens OX=9606	Nucleobindin-2 	1:Experimental evidence at protein level	1.0000	0.9990	4	7	7	7	11	11	11	     0	     0	     0			
932	a	sp|P80723|BASP1_HUMAN	P80723	BASP1_HUMAN	BASP1	227	75.30	Homo sapiens OX=9606	Brain acid soluble protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	21	21	21	102	102	102	     0	     0	     0			
933	a	sp|P82650|RT22_HUMAN	P82650	RT22_HUMAN	MRPS22	360	22.80	Homo sapiens OX=9606	28S ribosomal protein S22, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	10	10	10	     0	     0	     0			
934	a	sp|P82663|RT25_HUMAN	P82663	RT25_HUMAN	MRPS25	173	16.80	Homo sapiens OX=9606	28S ribosomal protein S25, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	3	3	3	3	     0	     0	     0			
935	a	sp|P82673|RT35_HUMAN	P82673	RT35_HUMAN	MRPS35	323	8.70	Homo sapiens OX=9606	28S ribosomal protein S35, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0	3C(57.0215)		
936	a	sp|P82675|RT05_HUMAN	P82675	RT05_HUMAN	MRPS5	430	10.70	Homo sapiens OX=9606	28S ribosomal protein S5, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0	3C(57.0215)		
937	a	sp|P82912|RT11_HUMAN	P82912	RT11_HUMAN	MRPS11	194	13.40	Homo sapiens OX=9606	28S ribosomal protein S11, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9982	2	2	2	2	2	2	2	     0	     0	     0			
938	a	sp|P82914|RT15_HUMAN	P82914	RT15_HUMAN	MRPS15	257	14.40	Homo sapiens OX=9606	28S ribosomal protein S15, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9982	4	2	2	2	4	4	4	     0	     0	     0			
939	a	sp|P82930|RT34_HUMAN	P82930	RT34_HUMAN	MRPS34	218	13.30	Homo sapiens OX=9606	28S ribosomal protein S34, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	3	4	4	4	     0	     0	     0			
940	a	sp|P82932|RT06_HUMAN	P82932	RT06_HUMAN	MRPS6	125	26.40	Homo sapiens OX=9606	28S ribosomal protein S6, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	2C(57.0215)		
941	a	sp|P82933|RT09_HUMAN	P82933	RT09_HUMAN	MRPS9	396	13.90	Homo sapiens OX=9606	28S ribosomal protein S9, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	8	8	8	     0	     0	     0	5C(57.0215), 6C(57.0215)		
942	a	sp|P82970|HMGN5_HUMAN	P82970	HMGN5_HUMAN	HMGN5	282	41.10	Homo sapiens OX=9606	High mobility group nucleosome-binding domain-containing protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	10	14	14	14	28	28	28	     0	     0	     0	3M(15.9949), 4M(15.9949)		
943	a	sp|P82979|SARNP_HUMAN	P82979	SARNP_HUMAN	SARNP	210	45.70	Homo sapiens OX=9606	SAP domain-containing ribonucleoprotein 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	10	10	16	16	16	     0	     0	     0	N-term(42.0106)		
944	a	sp|P83731|RL24_HUMAN	P83731	RL24_HUMAN	RPL24	157	46.50	Homo sapiens OX=9606	60S ribosomal protein L24 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	11	16	16	16	     0	     0	     0	1C(57.0215), 4C(57.0215)		
945	a	sp|P83916|CBX1_HUMAN	P83916	CBX1_HUMAN	CBX1	185	22.20	Homo sapiens OX=9606	Chromobox protein homolog 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	2	2	6	4	4	     0	     0	     0			
946	a	sp|P84085|ARF5_HUMAN	P84085	ARF5_HUMAN	ARF5	180	25.60	Homo sapiens OX=9606	ADP-ribosylation factor 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	2	2	5	3	3	     0	     0	     0			
947	a	sp|P84090|ERH_HUMAN	P84090	ERH_HUMAN	ERH	104	44.20	Homo sapiens OX=9606	Enhancer of rudimentary homolog 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	6	6	13	13	13	     0	     0	     0	11C(57.0215), 12M(15.9949), 16C(57.0215), 1M(15.9949), N-term(42.0106)		
948	a	sp|P84098|RL19_HUMAN	P84098	RL19_HUMAN	RPL19	196	29.60	Homo sapiens OX=9606	60S ribosomal protein L19 	1:Experimental evidence at protein level	1.0000	0.9990	6	8	8	8	21	21	21	     0	     0	     0	2M(15.9949), 3M(15.9949)		
949	a	sp|P84103|SRSF3_HUMAN	P84103	SRSF3_HUMAN	SRSF3	164	37.20	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 3 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	7	8	21	20	21	     0	     0	     0	3C(57.0215), 7C(57.0215)		
950	a	sp|P84157|MXRA7_HUMAN	P84157	MXRA7_HUMAN	MXRA7	204	14.20	Homo sapiens OX=9606	Matrix-remodeling-associated protein 7 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
951	a	sp|P98082|DAB2_HUMAN	P98082	DAB2_HUMAN	DAB2	770	8.70	Homo sapiens OX=9606	Disabled homolog 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0	N-term(42.0106)		
952	a	sp|P98175|RBM10_HUMAN	P98175	RBM10_HUMAN	RBM10	930	9.90	Homo sapiens OX=9606	RNA-binding protein 10 	1:Experimental evidence at protein level	1.0000	0.9990	8	9	9	9	13	13	13	     0	     0	     0			
953	a	sp|P98179|RBM3_HUMAN	P98179	RBM3_HUMAN	RBM3	157	27.40	Homo sapiens OX=9606	RNA-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0			
954	a	sp|P98194|AT2C1_HUMAN	P98194	AT2C1_HUMAN	ATP2C1	919	4.80	Homo sapiens OX=9606	Calcium-transporting ATPase type 2C member 1 	1:Experimental evidence at protein level	1.0000	0.9985	3	3	3	3	4	4	4	     0	     0	     0	16C(57.0215)		
955	a	sp|Q00059|TFAM_HUMAN	Q00059	TFAM_HUMAN	TFAM	246	18.70	Homo sapiens OX=9606	Transcription factor A, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	5	     0	     0	     0			
