Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1006	a	sp|Q13185|CBX3_HUMAN	Q13185	CBX3_HUMAN	CBX3	183	50.80	Homo sapiens OX=9606	Chromobox protein homolog 3 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	4	5	8	4	7	     0	     0	     0	17C(57.0215), 6C(57.0215)		
1007	a	sp|Q13200|PSMD2_HUMAN	Q13200	PSMD2_HUMAN	PSMD2	908	43.90	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	26	33	33	33	43	43	43	     0	     0	     0	10C(57.0215), 18C(57.0215), 2C(57.0215), 3C(57.0215), 6C(57.0215), 7C(57.0215), 8C(57.0215)		
1008	a	sp|Q13206|DDX10_HUMAN	Q13206	DDX10_HUMAN	DDX10	875	6.40	Homo sapiens OX=9606	Probable ATP-dependent RNA helicase DDX10 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0			
1009	a	sp|Q13242|SRSF9_HUMAN	Q13242	SRSF9_HUMAN	SRSF9	221	20.40	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 9 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	3	3	3	3	3	     0	     0	     0	6C(57.0215)		
1010	a	sp|Q13243|SRSF5_HUMAN	Q13243	SRSF5_HUMAN	SRSF5	272	10.70	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	3	3	3	     0	     0	     0			
1011	a	sp|Q13257|MD2L1_HUMAN	Q13257	MD2L1_HUMAN	MAD2L1	205	15.10	Homo sapiens OX=9606	Mitotic spindle assembly checkpoint protein MAD2A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
1012	a	sp|Q13263|TIF1B_HUMAN	Q13263	TIF1B_HUMAN	TRIM28	835	46.80	Homo sapiens OX=9606	Transcription intermediary factor 1-beta 	1:Experimental evidence at protein level	1.0000	0.9990	19	21	21	21	39	39	39	     0	     0	     0	11C(57.0215), 12C(57.0215), 15C(57.0215), 16C(57.0215), 25C(57.0215), 28C(57.0215), 2C(57.0215), 33C(57.0215), 36C(57.0215), 4C(57.0215), 8C(57.0215), N-term(42.0106)		
1013	a	sp|Q13283|G3BP1_HUMAN	Q13283	G3BP1_HUMAN	G3BP1	466	47.00	Homo sapiens OX=9606	Ras GTPase-activating protein-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	18	18	18	24	24	24	     0	     0	     0	9C(57.0215)		
1014	a	sp|Q13347|EIF3I_HUMAN	Q13347	EIF3I_HUMAN	EIF3I	325	66.20	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit I 	1:Experimental evidence at protein level	1.0000	0.9990	13	16	16	16	20	20	20	     0	     0	     0	11C(57.0215), 12C(57.0215), 13C(57.0215), 2C(57.0215), 6C(57.0215)		
1015	a	sp|Q13356|PPIL2_HUMAN	Q13356	PPIL2_HUMAN	PPIL2	520	28.50	Homo sapiens OX=9606	RING-type E3 ubiquitin-protein ligase PPIL2 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	10	13	13	13	     0	     0	     0	5C(57.0215), 9C(57.0215)		
1016	a	sp|Q13363|CTBP1_HUMAN	Q13363	CTBP1_HUMAN	CTBP1	440	19.10	Homo sapiens OX=9606	C-terminal-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0	8C(57.0215)		
1017	a	sp|Q13409|DC1I2_HUMAN	Q13409	DC1I2_HUMAN	DYNC1I2	638	16.80	Homo sapiens OX=9606	Cytoplasmic dynein 1 intermediate chain 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	6	     0	     0	     0	2C(57.0215)		
1018	a	sp|Q13416|ORC2_HUMAN	Q13416	ORC2_HUMAN	ORC2	577	5.20	Homo sapiens OX=9606	Origin recognition complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	3	3	3	3	     0	     0	     0			
1019	a	sp|Q13423|NNTM_HUMAN	Q13423	NNTM_HUMAN	NNT	1086	8.90	Homo sapiens OX=9606	NAD(P) transhydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	5	     0	     0	     0			
1020	a	sp|Q13427|PPIG_HUMAN	Q13427	PPIG_HUMAN	PPIG	754	4.20	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase G 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0	2C(57.0215)		
1021	a	sp|Q13428|TCOF_HUMAN	Q13428	TCOF_HUMAN	TCOF1	1488	10.50	Homo sapiens OX=9606	Treacle protein 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	12	12	12	     0	     0	     0	1C(57.0215)		
1022	a	sp|Q13435|SF3B2_HUMAN	Q13435	SF3B2_HUMAN	SF3B2	895	28.00	Homo sapiens OX=9606	Splicing factor 3B subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	17	17	17	17	19	19	19	     0	     0	     0	N-term(42.0106)		
1023	a	sp|Q13451|FKBP5_HUMAN	Q13451	FKBP5_HUMAN	FKBP5	457	40.30	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase FKBP5 	1:Experimental evidence at protein level	1.0000	0.9990	12	14	14	14	22	22	22	     0	     0	     0	4C(57.0215), 8C(57.0215)		
1024	a	sp|Q13485|SMAD4_HUMAN	Q13485	SMAD4_HUMAN	SMAD4	552	13.40	Homo sapiens OX=9606	Mothers against decapentaplegic homolog 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0	1C(57.0215), 5C(57.0215)		
1025	a	sp|Q13501|SQSTM_HUMAN	Q13501	SQSTM_HUMAN	SQSTM1	440	18.60	Homo sapiens OX=9606	Sequestosome-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0	10C(57.0215), 12C(57.0215), 13C(57.0215), 1C(57.0215), 4C(57.0215), 8C(57.0215), 9C(57.0215)		
1026	a	sp|Q13505|MTX1_HUMAN	Q13505	MTX1_HUMAN	MTX1	466	17.00	Homo sapiens OX=9606	Metaxin-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	6	     0	     0	     0			
1027	a	sp|Q13523|PRP4B_HUMAN	Q13523	PRP4B_HUMAN	PRPF4B	1007	8.20	Homo sapiens OX=9606	Serine/threonine-protein kinase PRP4 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	6	     0	     0	     0	9C(57.0215)		
1028	a	sp|Q13542|4EBP2_HUMAN	Q13542	4EBP2_HUMAN	EIF4EBP2	120	35.80	Homo sapiens OX=9606	Eukaryotic translation initiation factor 4E-binding protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0	10C(57.0215)		
1029	a	sp|Q13546|RIPK1_HUMAN	Q13546	RIPK1_HUMAN	RIPK1	671	6.90	Homo sapiens OX=9606	Receptor-interacting serine/threonine-protein kinase 1 	1:Experimental evidence at protein level	1.0000	0.9981	3	3	3	3	3	3	3	     0	     0	     0			
1030	a	sp|Q13547|HDAC1_HUMAN	Q13547	HDAC1_HUMAN	HDAC1	482	34.00	Homo sapiens OX=9606	Histone deacetylase 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	7	10	12	9	12	     0	     0	     0	14C(57.0215)		
1031	a	sp|Q13561|DCTN2_HUMAN	Q13561	DCTN2_HUMAN	DCTN2	401	39.40	Homo sapiens OX=9606	Dynactin subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	9	     0	     0	     0	17C(57.0215), 1C(57.0215)		
1032	a	sp|Q13564|ULA1_HUMAN	Q13564	ULA1_HUMAN	NAE1	534	19.30	Homo sapiens OX=9606	NEDD8-activating enzyme E1 regulatory subunit 	1:Experimental evidence at protein level	1.0000	0.9988	7	7	7	7	7	7	7	     0	     0	     0	2C(57.0215), 8C(57.0215)		
1033	a	sp|Q13573|SNW1_HUMAN	Q13573	SNW1_HUMAN	SNW1	536	14.90	Homo sapiens OX=9606	SNW domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	6	8	8	8	     0	     0	     0	N-term(42.0106)		
1034	a	sp|Q13595|TRA2A_HUMAN	Q13595	TRA2A_HUMAN	TRA2A	282	12.40	Homo sapiens OX=9606	Transformer-2 protein homolog alpha 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	3	3	3	     0	     0	     0	8C(57.0215)		
1035	a	sp|Q13601|KRR1_HUMAN	Q13601	KRR1_HUMAN	KRR1	381	6.30	Homo sapiens OX=9606	KRR1 small subunit processome component homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	3	3	3	     0	     0	     0	N-term(42.0106)		
1036	a	sp|Q13610|PWP1_HUMAN	Q13610	PWP1_HUMAN	PWP1	501	12.40	Homo sapiens OX=9606	Periodic tryptophan protein 1 homolog 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	4	4	4	     0	     0	     0	14C(57.0215)		
1037	a	sp|Q13616|CUL1_HUMAN	Q13616	CUL1_HUMAN	CUL1	776	23.10	Homo sapiens OX=9606	Cullin-1 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	11	11	13	13	13	     0	     0	     0			
1038	a	sp|Q13617|CUL2_HUMAN	Q13617	CUL2_HUMAN	CUL2	745	13.70	Homo sapiens OX=9606	Cullin-2 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	7	8	8	8	     0	     0	     0	13C(57.0215), 8C(57.0215)		
1039	a	sp|Q13618|CUL3_HUMAN	Q13618	CUL3_HUMAN	CUL3	768	4.70	Homo sapiens OX=9606	Cullin-3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	7C(57.0215)		
1040	a	sp|Q13619|CUL4A_HUMAN	Q13619	CUL4A_HUMAN	CUL4A	759	11.20	Homo sapiens OX=9606	Cullin-4A 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	2	2	7	2	2	     0	     0	     0	14C(57.0215), 7C(57.0215)		
1041	a	sp|Q13620|CUL4B_HUMAN	Q13620	CUL4B_HUMAN	CUL4B	913	12.70	Homo sapiens OX=9606	Cullin-4B 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	4	9	11	6	11	     0	     0	     0	3C(57.0215)		
1042	a	sp|Q13630|FCL_HUMAN	Q13630	FCL_HUMAN	TSTA3	321	11.50	Homo sapiens OX=9606	GDP-L-fucose synthase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
1043	a	sp|Q13643|FHL3_HUMAN	Q13643	FHL3_HUMAN	FHL3	280	42.10	Homo sapiens OX=9606	Four and a half LIM domains protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	6	     0	     0	     0	10C(57.0215), 12C(57.0215), 13C(57.0215), 15C(57.0215), 18C(57.0215), 22C(57.0215), 25C(57.0215), 2C(57.0215), 5C(57.0215), 6C(57.0215), 8C(57.0215), 9C(57.0215)		
1044	a	sp|Q13685|AAMP_HUMAN	Q13685	AAMP_HUMAN	AAMP	434	13.10	Homo sapiens OX=9606	Angio-associated migratory cell protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0	10C(57.0215), 11C(57.0215), 7C(57.0215)		
1045	a	sp|Q13769|THOC5_HUMAN	Q13769	THOC5_HUMAN	THOC5	683	12.20	Homo sapiens OX=9606	THO complex subunit 5 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	6	6	6	6	     0	     0	     0			
1046	a	sp|Q13838|DX39B_HUMAN	Q13838	DX39B_HUMAN	DDX39B	428	51.90	Homo sapiens OX=9606	Spliceosome RNA helicase DDX39B 	1:Experimental evidence at protein level	1.0000	0.9990	13	16	9	16	25	14	25	     0	     0	     0	17C(57.0215), 1C(57.0215), 25C(57.0215), 29C(57.0215), 2C(57.0215), 5C(57.0215), 7C(57.0215), N-term(42.0106)		
1047	a	sp|Q13867|BLMH_HUMAN	Q13867	BLMH_HUMAN	BLMH	455	26.20	Homo sapiens OX=9606	Bleomycin hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	10	10	10	     0	     0	     0	1C(57.0215), 23C(57.0215), 2C(57.0215), 6C(57.0215)		
1048	a	sp|Q13868|EXOS2_HUMAN	Q13868	EXOS2_HUMAN	EXOSC2	293	36.20	Homo sapiens OX=9606	Exosome complex component RRP4 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	9	9	9	     0	     0	     0	11C(57.0215)		
1049	a	sp|Q13895|BYST_HUMAN	Q13895	BYST_HUMAN	BYSL	437	33.60	Homo sapiens OX=9606	Bystin 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	10	10	13	13	13	     0	     0	     0	12C(57.0215), 7C(57.0215), 9C(57.0215)		
1050	a	sp|Q13951|PEBB_HUMAN	Q13951	PEBB_HUMAN	CBFB	182	23.10	Homo sapiens OX=9606	Core-binding factor subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	4	4	4	4	     0	     0	     0	4M(15.9949), 6C(57.0215), 9C(57.0215)		
1051	a	sp|Q14008|CKAP5_HUMAN	Q14008	CKAP5_HUMAN	CKAP5	2032	12.40	Homo sapiens OX=9606	Cytoskeleton-associated protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	16	17	17	17	20	20	20	     0	     0	     0	10C(57.0215), 11C(57.0215), 6C(57.0215)		
1052	a	sp|Q14011|CIRBP_HUMAN	Q14011	CIRBP_HUMAN	CIRBP	172	20.30	Homo sapiens OX=9606	Cold-inducible RNA-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	3	3	3	     0	     0	     0			
1053	a	sp|Q14019|COTL1_HUMAN	Q14019	COTL1_HUMAN	COTL1	142	38.00	Homo sapiens OX=9606	Coactosin-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	5	5	5	     0	     0	     0	22C(57.0215)		
1054	a	sp|Q14103|HNRPD_HUMAN	Q14103	HNRPD_HUMAN	HNRNPD	355	22.30	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein D0 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	6	7	12	11	12	     0	     0	     0	3C(57.0215), 7C(57.0215)		
1055	a	sp|Q14137|BOP1_HUMAN	Q14137	BOP1_HUMAN	BOP1	746	25.30	Homo sapiens OX=9606	Ribosome biogenesis protein BOP1 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	10	13	13	13	     0	     0	     0	12C(57.0215), 1C(57.0215), 2C(57.0215)		
1056	a	sp|Q14139|UBE4A_HUMAN	Q14139	UBE4A_HUMAN	UBE4A	1066	5.20	Homo sapiens OX=9606	Ubiquitin conjugation factor E4 A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0			
1057	a	sp|Q14141|SEPT6_HUMAN	Q14141	SEPT6_HUMAN	SEPTIN6	434	18.00	Homo sapiens OX=9606	Septin-6 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	3	3	4	3	3	     0	     0	     0	12C(57.0215), 7C(57.0215)		
1058	a	sp|Q14145|KEAP1_HUMAN	Q14145	KEAP1_HUMAN	KEAP1	624	16.20	Homo sapiens OX=9606	Kelch-like ECH-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	6	     0	     0	     0	16C(57.0215), 23C(57.0215), 8C(57.0215)		
1059	a	sp|Q14146|URB2_HUMAN	Q14146	URB2_HUMAN	URB2	1524	3.50	Homo sapiens OX=9606	Unhealthy ribosome biogenesis protein 2 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0	11C(57.0215), 21C(57.0215)		
1060	a	sp|Q14149|MORC3_HUMAN	Q14149	MORC3_HUMAN	MORC3	939	5.60	Homo sapiens OX=9606	MORC family CW-type zinc finger protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0	1C(57.0215)		
1061	a	sp|Q14151|SAFB2_HUMAN	Q14151	SAFB2_HUMAN	SAFB2	953	18.30	Homo sapiens OX=9606	Scaffold attachment factor B2 	1:Experimental evidence at protein level	1.0000	0.9990	12	13	4	4	18	6	6	     0	     0	     0	N-term(42.0106)		
1062	a	sp|Q14152|EIF3A_HUMAN	Q14152	EIF3A_HUMAN	EIF3A	1382	23.30	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit A 	1:Experimental evidence at protein level	1.0000	0.9990	28	27	27	27	33	33	33	     0	     0	     0	2C(57.0215)		
1063	a	sp|Q14157|UBP2L_HUMAN	Q14157	UBP2L_HUMAN	UBAP2L	1087	21.90	Homo sapiens OX=9606	Ubiquitin-associated protein 2-like 	1:Experimental evidence at protein level	1.0000	0.9990	13	14	14	14	18	18	18	     0	     0	     0	12C(57.0215), 5C(57.0215)		
1064	a	sp|Q14166|TTL12_HUMAN	Q14166	TTL12_HUMAN	TTLL12	644	24.80	Homo sapiens OX=9606	Tubulin--tyrosine ligase-like protein 12 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	12	12	12	     0	     0	     0	10C(57.0215), 15C(57.0215), 19C(57.0215)		
1065	a	sp|Q14191|WRN_HUMAN	Q14191	WRN_HUMAN	WRN	1432	4.30	Homo sapiens OX=9606	Werner syndrome ATP-dependent helicase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0	11C(57.0215)		
1066	a	sp|Q14192|FHL2_HUMAN	Q14192	FHL2_HUMAN	FHL2	279	19.40	Homo sapiens OX=9606	Four and a half LIM domains protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0	11C(57.0215), 3C(57.0215), 6C(57.0215), 8C(57.0215), 9C(57.0215)		
1067	a	sp|Q14202|ZMYM3_HUMAN	Q14202	ZMYM3_HUMAN	ZMYM3	1370	2.20	Homo sapiens OX=9606	Zinc finger MYM-type protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0	3C(57.0215), 4C(57.0215), 7C(57.0215)		
1068	a	sp|Q14203|DCTN1_HUMAN	Q14203	DCTN1_HUMAN	DCTN1	1278	17.80	Homo sapiens OX=9606	Dynactin subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	15	15	15	18	18	18	     0	     0	     0	17C(57.0215), 8C(57.0215)		
1069	a	sp|Q14204|DYHC1_HUMAN	Q14204	DYHC1_HUMAN	DYNC1H1	4646	23.40	Homo sapiens OX=9606	Cytoplasmic dynein 1 heavy chain 1 	1:Experimental evidence at protein level	1.0000	0.9990	69	72	72	72	84	84	84	     0	     0	     0	11C(57.0215), 12C(57.0215), 15C(57.0215), 18C(57.0215), 2C(57.0215), 3C(57.0215), 5C(57.0215), 6C(57.0215)		
1070	a	sp|Q14232|EI2BA_HUMAN	Q14232	EI2BA_HUMAN	EIF2B1	305	29.50	Homo sapiens OX=9606	Translation initiation factor eIF-2B subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	6	     0	     0	     0	3C(57.0215), 5C(57.0215), 9C(57.0215)		
1071	a	sp|Q14240|IF4A2_HUMAN	Q14240	IF4A2_HUMAN	EIF4A2	407	29.20	Homo sapiens OX=9606	Eukaryotic initiation factor 4A-II 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	3	3	11	3	3	     0	     0	     0			
1072	a	sp|Q14247|SRC8_HUMAN	Q14247	SRC8_HUMAN	CTTN	550	25.30	Homo sapiens OX=9606	Src substrate cortactin 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	11	11	12	12	12	     0	     0	     0	1C(57.0215)		
1073	a	sp|Q14254|FLOT2_HUMAN	Q14254	FLOT2_HUMAN	FLOT2	428	6.30	Homo sapiens OX=9606	Flotillin-2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
1074	a	sp|Q14257|RCN2_HUMAN	Q14257	RCN2_HUMAN	RCN2	317	8.20	Homo sapiens OX=9606	Reticulocalbin-2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
1075	a	sp|Q14258|TRI25_HUMAN	Q14258	TRI25_HUMAN	TRIM25	630	16.50	Homo sapiens OX=9606	E3 ubiquitin/ISG15 ligase TRIM25 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	8	10	10	10	     0	     0	     0	12C(57.0215), 15C(57.0215), 2C(57.0215), 4C(57.0215), 5C(57.0215), 9C(57.0215)		
1076	a	sp|Q14315|FLNC_HUMAN	Q14315	FLNC_HUMAN	FLNC	2725	26.00	Homo sapiens OX=9606	Filamin-C 	1:Experimental evidence at protein level	1.0000	0.9990	41	43	38	39	54	46	48	     0	     0	     0	11C(57.0215), 12C(57.0215), 15C(57.0215), 16C(57.0215), 1C(57.0215), 2C(57.0215), 4C(57.0215), 7C(57.0215), 9C(57.0215)		
1077	a	sp|Q14318|FKBP8_HUMAN	Q14318	FKBP8_HUMAN	FKBP8	412	14.80	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase FKBP8 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	5	5	5	     0	     0	     0	2C(57.0215)		
1078	a	sp|Q14331|FRG1_HUMAN	Q14331	FRG1_HUMAN	FRG1	258	11.60	Homo sapiens OX=9606	Protein FRG1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
1079	a	sp|Q14376|GALE_HUMAN	Q14376	GALE_HUMAN	GALE	348	37.10	Homo sapiens OX=9606	UDP-glucose 4-epimerase 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	8	10	10	10	     0	     0	     0	28C(57.0215)		
1080	a	sp|Q14444|CAPR1_HUMAN	Q14444	CAPR1_HUMAN	CAPRIN1	709	24.50	Homo sapiens OX=9606	Caprin-1 	1:Experimental evidence at protein level	1.0000	0.9990	8	10	10	10	16	16	16	     0	     0	     0	5C(57.0215)		
1081	a	sp|Q14493|SLBP_HUMAN	Q14493	SLBP_HUMAN	SLBP	270	16.70	Homo sapiens OX=9606	Histone RNA hairpin-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	4	4	4	     0	     0	     0			
1082	a	sp|Q14562|DHX8_HUMAN	Q14562	DHX8_HUMAN	DHX8	1220	3.80	Homo sapiens OX=9606	ATP-dependent RNA helicase DHX8 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	5	5	5	     0	     0	     0	N-term(42.0106)		
1083	a	sp|Q14566|MCM6_HUMAN	Q14566	MCM6_HUMAN	MCM6	821	31.80	Homo sapiens OX=9606	DNA replication licensing factor MCM6 	1:Experimental evidence at protein level	1.0000	0.9990	18	21	21	21	26	26	26	     0	     0	     0	3C(57.0215), 4C(57.0215), 7C(57.0215), N-term(42.0106)		
1084	a	sp|Q14671|PUM1_HUMAN	Q14671	PUM1_HUMAN	PUM1	1186	9.50	Homo sapiens OX=9606	Pumilio homolog 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	6	8	9	6	9	     0	     0	     0	13C(57.0215), 1C(57.0215), 23C(57.0215), 4C(57.0215)		
1085	a	sp|Q14676|MDC1_HUMAN	Q14676	MDC1_HUMAN	MDC1	2089	4.80	Homo sapiens OX=9606	Mediator of DNA damage checkpoint protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	7	7	7	     0	     0	     0			
1086	a	sp|Q14677|EPN4_HUMAN	Q14677	EPN4_HUMAN	CLINT1	625	13.00	Homo sapiens OX=9606	Clathrin interactor 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	7	8	8	8	     0	     0	     0			
1087	a	sp|Q14683|SMC1A_HUMAN	Q14683	SMC1A_HUMAN	SMC1A	1233	16.10	Homo sapiens OX=9606	Structural maintenance of chromosomes protein 1A 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	16	17	17	17	     0	     0	     0	13C(57.0215), 4C(57.0215), 7C(57.0215)		
1088	a	sp|Q14684|RRP1B_HUMAN	Q14684	RRP1B_HUMAN	RRP1B	758	22.80	Homo sapiens OX=9606	Ribosomal RNA processing protein 1 homolog B 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	10	10	11	11	11	     0	     0	     0	28C(57.0215), 3C(57.0215), 4C(57.0215)		
1089	a	sp|Q14687|GSE1_HUMAN	Q14687	GSE1_HUMAN	GSE1	1217	5.30	Homo sapiens OX=9606	Genetic suppressor element 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	4	     0	     0	     0			
1090	a	sp|Q14690|RRP5_HUMAN	Q14690	RRP5_HUMAN	PDCD11	1871	10.30	Homo sapiens OX=9606	Protein RRP5 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	11	12	12	12	16	16	16	     0	     0	     0	1C(57.0215), 3C(57.0215)		
1091	a	sp|Q14692|BMS1_HUMAN	Q14692	BMS1_HUMAN	BMS1	1282	11.80	Homo sapiens OX=9606	Ribosome biogenesis protein BMS1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	11	11	11	11	11	     0	     0	     0	8C(57.0215)		
1092	a	sp|Q14694|UBP10_HUMAN	Q14694	UBP10_HUMAN	USP10	798	24.60	Homo sapiens OX=9606	Ubiquitin carboxyl-terminal hydrolase 10 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	11	12	12	12	     0	     0	     0	14C(57.0215), 17C(57.0215), 21C(57.0215)		
1093	a	sp|Q14696|MESD_HUMAN	Q14696	MESD_HUMAN	MESD	234	9.80	Homo sapiens OX=9606	LRP chaperone MESD 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
1094	a	sp|Q14697|GANAB_HUMAN	Q14697	GANAB_HUMAN	GANAB	944	30.60	Homo sapiens OX=9606	Neutral alpha-glucosidase AB 	1:Experimental evidence at protein level	1.0000	0.9990	19	20	20	20	23	23	23	     0	     0	     0	2C(57.0215), 8C(57.0215)		
1095	a	sp|Q14739|LBR_HUMAN	Q14739	LBR_HUMAN	LBR	615	3.40	Homo sapiens OX=9606	Delta(14)-sterol reductase LBR 	1:Experimental evidence at protein level	1.0000	0.9981	2	2	2	2	2	2	2	     0	     0	     0			
1096	a	sp|Q14807|KIF22_HUMAN	Q14807	KIF22_HUMAN	KIF22	665	8.60	Homo sapiens OX=9606	Kinesin-like protein KIF22 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3	     0	     0	     0			
1097	a	sp|Q14847|LASP1_HUMAN	Q14847	LASP1_HUMAN	LASP1	261	33.70	Homo sapiens OX=9606	LIM and SH3 domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	7	7	7	     0	     0	     0			
